#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl
,,North America,,"33,504,423","+8,089","758,226",+807,"23,176,861","+5,248","9,569,336","21,638",,,,,,North America,,,,
,,Asia,,"24,937,210","+1,190","397,560",+8,"23,447,478","+1,173","1,092,172","21,838",,,,,,Asia,,,,
,,South America,,"17,936,527",+656,"465,612",+19,"16,204,452",+603,"1,266,463","18,928",,,,,,South America,,,,
,,Europe,,"34,030,247",,"811,393",,"23,589,003",,"9,629,851","25,346",,,,,,Europe,,,,
,,Africa,,"3,915,198",,"103,643",,"3,475,121",,"336,434","2,528",,,,,,Africa,,,,
,,Oceania,,"51,161",+9,"1,088",,"34,279",+7,"15,794",6,,,,,,Australia/Oceania,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,
,World,"114,375,487","+9,944","2,537,537",+834,"89,927,900","+7,031","21,910,050","90,284","14,673",325.5,,,,All,,,,
31,Philippines,"574,247",,"12,289 ",,"524,865",,"37,093",785,"5,195",111,"8,753,147","79,186","110,539,720 ",Asia,"1928,99513"
32,Switzerland,"554,932",,"9,966 ",,"507,856",,"37,110",180,"63,812","1,146","5,025,401","577,875","8,696,351 ",Europe,168732
33,Bangladesh,"545,831",,"8,400 ",,"496,107",,"41,324",,"3,293",51,"4,030,616","24,315","165,769,700 ",Asia,"30419,73441"
34,Morocco,"483,410",,"8,615 ",,"468,807",,"5,988",285,"12,995",232,"5,647,131","151,811","37,198,337 ",Africa,"774,3187"
35,Austria,"457,317",,"8,538 ",,"428,904",,"19,875",264,"50,586",944,"5,341,373","590,840","9,040,305 ",Europe,"201,0592"
36,Serbia,"456,450",,"4,429 ",,"400,347",,"51,674",160,"52,381",508,"2,930,139","336,255","8,714,045 ",Europe,"191,9673"
37,Japan,"430,539",,"7,807 ",,"408,020",,"14,712",440,"3,411",62,"8,203,285","64,992","126,219,952 ",Asia,"29316,16815"
38,Hungary,"424,130",,"14,902 ",,"319,691",,"89,537",482,"43,978","1,545","3,632,712","376,677","9,644,104 ",Europe,236473
39,UAE,"388,594",,"1,213 ",,"379,708",,"7,673",,"38,980",122,"30,439,712","3,053,438","9,968,996 ",Asia,"268,2180"
40,Jordan,"386,496",,"4,675 ",,"346,287",,"35,534",284,"37,634",455,"4,566,735","444,675","10,269,828 ",Asia,"272,1972"
41,Saudi Arabia,"377,061",,"6,488 ",,"368,011",,"2,562",475,"10,721",184,"13,594,146","386,529","35,169,802 ",Asia,"935,4213"
42,Lebanon,"372,792",,"4,652 ",,"288,505",,"79,635",912,"54,781",684,"3,008,920","442,151","6,805,183 ",Asia,"181,4632"
43,Panama,"340,445",,"5,831 ",,"325,491",,"9,123",195,"78,095","1,338","1,903,339","436,610","4,359,353 ",North America,137482
44,Slovakia,"306,268",,"7,075 ",,"255,300",,"43,893",669,"56,079","1,295","2,037,732","373,116","5,461,391 ",Europe,187723
45,Malaysia,"298,315",,"1,121 ",,"270,166",,"27,028",190,"9,140",34,"6,138,208","188,066","32,638,635 ",Asia,"10929,1165"
46,Belarus,"285,959",,"1,966 ",,"276,234",,"7,759",,"30,269",208,"4,879,018","516,448","9,447,266 ",Europe,"334,8052"
47,Ecuador,"284,347",,"15,779 ",,"238,817",,"29,751",531,"15,958",886,"1,005,188","56,411","17,818,969 ",South America,"631,12918"
48,Nepal,"274,065",,"2,773 ",,"270,325",,967,,"9,297",94,"2,160,404","73,283","29,480,392 ",Asia,"10810,63114"
49,Georgia,"270,510",,"3,499 ",,"264,589",,"2,422",,"67,897",878,"2,684,212","673,732","3,984,097 ",Asia,"151,1391"
50,Bolivia,"248,547",+656,"11,628 ",+19,"192,553",+603,"44,366",71,"21,103",987,"716,703","60,853","11,777,661 ",South America,"471,01316"
51,Bulgaria,"246,706",,"10,167 ",,"205,137",,"31,402",380,"35,684","1,471","1,662,699","240,493","6,913,724 ",Europe,286804
52,Croatia,"242,617",,"5,511 ",,"233,890",,"3,216",75,"59,342","1,348","1,338,842","327,468","4,088,472 ",Europe,177423
53,Dominican Republic,"239,009",,"3,093 ",,"190,295",,"45,621",219,"21,888",283,"1,203,441","110,210","10,919,533 ",North America,"463,5309"
54,Azerbaijan,"234,267",,"3,218 ",,"228,651",,"2,398",,"22,969",316,"2,591,235","254,058","10,199,379 ",Asia,"443,1694"
55,Tunisia,"232,615",,"7,974 ",,"197,619",,"27,022",264,"19,547",670,"976,457","82,055","11,900,023 ",Africa,"511,49212"
56,Ireland,"218,980",,"4,313 ",,"23,364",,"191,303",135,"44,024",867,"3,523,320","708,336","4,974,080 ",Europe,"231,1531"
57,Kazakhstan,"212,809",+791,"2,540 ",,"196,543",+791,"13,726",221,"11,245",134,"7,419,449","392,057","18,924,434 ",Asia,"897,4513"
58,Denmark,"210,732",,"2,358 ",,"201,848",,"6,526",44,"36,298",406,"16,864,538","2,904,837","5,805,675 ",Europe,"282,4620"
59,Costa Rica,"204,341",,"2,800 ",,"177,099",,"24,442",147,"39,873",546,"669,685","130,676","5,124,759 ",North America,"251,8308"
60,Lithuania,"197,343",,"3,234 ",,"183,324",,"10,785",153,"73,171","1,199","2,115,119","784,246","2,697,008 ",Europe,148341
61,Kuwait,"189,890",,"1,078 ",,"178,197",,"10,615",158,"44,037",250,"1,778,076","412,351","4,312,050 ",Asia,"234,0002"
62,Greece,"189,831",,"6,468 ",,"165,718",,"17,645",377,"18,272",623,"5,209,532","501,433","10,389,297 ",Europe,"551,6062"
63,Slovenia,"189,627",,"3,836 ",,"175,210",,"10,581",95,"91,205","1,845","909,750","437,563","2,079,127 ",Europe,115422
64,Moldova,"184,856",,"3,924 ",,"165,489",,"15,443",317,"45,896",974,"715,492","177,640","4,027,754 ",Europe,"221,0266"
65,Palestine,"181,909",,"2,025 ",,"166,119",,"13,765",110,"35,125",391,"1,159,257","223,841","5,178,937 ",Asia,"282,5574"
66,Egypt,"181,829",,"10,639 ",,"140,460",,"30,730",90,"1,755",103,"1,000,000","9,653","103,599,236 ",Africa,"5709,738104"
67,Guatemala,"174,335",,"6,374 ",,"161,129",,"6,832",5,"9,614",352,"916,369","50,537","18,132,786 ",North America,"1042,84520"
68,Armenia,"171,793",,"3,190 ",,"163,309",,"5,294",,"57,903","1,075","724,606","244,230","2,966,904 ",Asia,179304
69,Honduras,"169,754",+843,"4,141 ",+24,"66,447",+574,"99,166",406,"16,962",414,"446,239","44,588","10,008,004 ",North America,"592,41722"
70,Qatar,"163,197",,257 ,,"153,219",,"9,721",105,"58,123",92,"1,532,225","545,702","2,807,805 ",Asia,"1710,9252"
71,Paraguay,"158,537",,"3,167 ",,"132,445",,"22,925",254,"22,049",440,"747,790","104,002","7,190,156 ",South America,"452,27010"
72,Ethiopia,"158,053",,"2,354 ",,"134,736",,"20,963",377,"1,353",20,"2,128,036","18,216","116,823,553 ",Africa,"73949,62855"
73,Nigeria,"155,417",,"1,905 ",,"133,256",,"20,256",10,742,9,"1,489,103","7,109","209,476,657 ",Africa,"1,348109,961141"
74,Myanmar,"141,890",,"3,199 ",,"131,454",,"7,237",,"2,596",59,"2,489,884","45,560","54,650,356 ",Asia,"38517,08422"
75,Oman,"140,588",,"1,562 ",,"131,684",,"7,342",68,"27,081",301,"1,550,000","298,569","5,191,423 ",Asia,"373,3243"
76,Venezuela,"138,739",,"1,341 ",,"130,834",,"6,564",131,"4,888",47,"2,844,236","100,211","28,382,567 ",South America,"20521,16510"
77,Libya,"132,458",,"2,174 ",,"119,492",,"10,792",,"19,106",314,"721,544","104,078","6,932,697 ",Africa,"523,18910"
78,Bosnia and Herzegovina,"130,979",,"5,071 ",,"115,847",,"10,061",,"40,088","1,552","661,206","202,372","3,267,281 ",Europe,256445
79,Bahrain,"121,778",,444 ,,"114,472",,"6,862",70,"69,988",255,"3,077,307","1,768,581","1,739,986 ",Asia,"143,9191"
80,Algeria,"112,960",,"2,979 ",,"77,976",,"32,005",21,"2,546",67,,,"44,370,173 ",Africa,"39314,894"
81,Albania,"106,215",,"1,775 ",,"68,969",,"35,471",46,"36,935",617,"458,581","159,467","2,875,717 ",Europe,"271,6206"
82,Kenya,"105,648",,"1,854 ",,"86,609",,"17,185",59,"1,937",34,"1,295,556","23,752","54,546,107 ",Africa,"51629,42142"
83,North Macedonia,"102,482",,"3,126 ",,"91,066",,"8,290",124,"49,192","1,500","519,985","249,595","2,083,317 ",Europe,206664
84,S. Korea,"89,676",+355,"1,603 ",+8,"80,697",+364,"7,376",135,"1,748",31,"6,649,006","129,614","51,298,365 ",Asia,"57232,0018"
85,Kyrgyzstan,"86,185",,"1,463 ",,"83,127",,"1,595",29,"13,069",222,"740,924","112,349","6,594,823 ",Asia,"774,5089"
86,Latvia,"85,810",,"1,614 ",,"74,839",,"9,357",74,"45,830",862,"1,495,609","798,793","1,872,335 ",Europe,"221,1601"
87,Sri Lanka,"82,890",,464 ,,"78,373",,"4,053",,"3,860",22,"2,030,702","94,572","21,472,533 ",Asia,"25946,27711"
88,Ghana,"82,586",,594 ,,"76,573",,"5,419",150,"2,622",19,"889,632","28,245","31,497,512 ",Africa,"38153,02635"
89,Uzbekistan,"79,836",,622 ,,"78,373",,841,28,"2,363",18,"1,377,915","40,781","33,787,823 ",Asia,"42354,32125"
90,Zambia,"78,202",,"1,081  ",,"73,609",,"3,512",263,"4,178",58,"1,083,026","57,855","18,719,620 ",Africa,"23917,31717"
91,Montenegro,"75,332",,999 ,,"65,780",,"8,553",68,"119,933","1,590","279,331","444,710","628,119 ",Europe,86292
92,Norway,"70,826",,622 ,,"63,783",,"6,421",21,"12,998",114,"3,825,778","702,083","5,449,182 ",Europe,"778,7611"
93,Estonia,"64,399",,584 ,,"49,709",,"14,106",41,"48,525",440,"928,459","699,602","1,327,125 ",Europe,"212,2721"
94,Singapore,"59,925",,29 ,,"59,816",,80,1,"10,190",5,"7,290,760","1,239,784","5,880,669 ",Asia,"98202,7821"
95,El Salvador,"59,866",,"1,847 ",,"55,312",,"2,707",43,"9,199",284,"761,858","117,068","6,507,806 ",North America,"1093,5239"
96,Mozambique,"58,772",,630 ,,"40,761",,"17,381",,"1,847",20,"420,600","13,215","31,826,331 ",Africa,"54250,51876"
97,Uruguay,"57,362",,603 ,,"49,466",,"7,293",71,"16,475",173,"1,012,294","290,749","3,481,682 ",South America,"615,7743"
98,Finland,"57,052",,742 ,,"46,000",,"10,310",38,"10,286",134,"3,314,197","597,539","5,546,411 ",Europe,"977,4752"
